Condition	Phase	Block	ShuffleTrialsInBlock	RandStimSelection	Trial	Stimuli	StimType	StimCenterX	StimCenterY	FlipX	Comment	ExtraField
1	1	1	0	0	auto	instructions/p1	slideshow				a straightforward instructions slideshow	an
1	1	2	0	0	auto	instructions/p2	slideshow			1	flipped on the X axis	extra
1	1	3	1	0	auto	instructions/p3	slideshow				"figures out which trials to run, then shuffles them. Applies on a per block basis"	piece
1	1	4	0	replace	[1:2]	instructions/p4	slideshow				"for each trial, how should the stim to run be chosen? Assumes you've specified a folder for 'stimuli'"	of
1	2	1	0	0	[1:2:6]	instructions/odd	slideshow				"trial subsetting works with matlab indices. Always use  brackets, even if you wouldn't need to in matlab"	trialdata
1	2	1	0	0	[2:2:6]	instructions/even	slideshow				these will be presented on even trials	you
1	3	1	0	0	1	This is some text!	text	250	250		"you can present text, instead of images."	want
1	3	1	0	0	2	This phase (3) is a recording phase	text				This is specified in config.txt	saved
1	4	1	0	0	1	circle	custom	200	500		an example of a custom-scripted trial. See 'custom_function.m'	in
1	4	1	0	0	2	square	custom	500	200		ditto	results
