Condition	Phase	Block	ShuffleTrialsInBlock	RandStimSelection	Trial	Stimuli	StimType	Quadrant	DistFromFix	Theta	ProbeLocation	PropOverlap
1	1	1	0	0	auto	stimuli/instructions	slideshow	NA	NA	NA	NA	NA
1	2	[1:10]	1	0	1		custom	LL	150	0.25	cause	1
1	2	[1:10]	1	0	2		custom	UL	150	0.75	cause	1
1	2	[1:10]	1	0	3		custom	UR	150	1.25	cause	1
1	2	[1:10]	1	0	4		custom	LR	150	1.75	cause	1
1	2	[1:10]	1	0	5		custom	LL	150	0.25	effect	1
1	2	[1:10]	1	0	6		custom	UL	150	0.75	effect	1
1	2	[1:10]	1	0	7		custom	UR	150	1.25	effect	1
1	2	[1:10]	1	0	8		custom	LR	150	1.75	effect	1
1	2	[1:10]	1	0	9		custom	LL	150	0.25	cause	0.08
1	2	[1:10]	1	0	10		custom	UL	150	0.75	cause	0.08
1	2	[1:10]	1	0	11		custom	UR	150	1.25	cause	0.08
1	2	[1:10]	1	0	12		custom	LR	150	1.75	cause	0.08
1	2	[1:10]	1	0	13		custom	LL	150	0.25	effect	0.08
1	2	[1:10]	1	0	14		custom	UL	150	0.75	effect	0.08
1	2	[1:10]	1	0	15		custom	UR	150	1.25	effect	0.08
1	2	[1:10]	1	0	16		custom	LR	150	1.75	effect	0.08
1	2	[1:10]	1	0	17		custom	LL	150	0.25	none	0.08
1	2	[1:10]	1	0	18		custom	UL	150	0.75	none	0.08
1	2	[1:10]	1	0	19		custom	UR	150	1.25	none	0.08
1	2	[1:10]	1	0	20		custom	LR	150	1.75	none	0.08
1	2	[1:10]	1	0	21		custom	LL	150	0.25	none	1
1	2	[1:10]	1	0	22		custom	UL	150	0.75	none	1
1	2	[1:10]	1	0	23		custom	UR	150	1.25	none	1
1	2	[1:10]	1	0	24		custom	LR	150	1.75	none	1
